"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.419251292E0,-9.944511414E1,-6.441893005E1,-1.569860840E2
2.429293292E0,-9.943702698E1,-6.459614563E1,-1.570895081E2
2.439334292E0,-9.962448120E1,-6.456729126E1,-1.572028198E2
2.449376292E0,-9.959736633E1,-6.468551636E1,-1.571846924E2
2.459418292E0,-9.988900757E1,-6.451589966E1,-1.575222473E2
2.469459292E0,-9.974555969E1,-6.447746277E1,-1.571952820E2
2.479501292E0,-9.971052551E1,-6.452262878E1,-1.569284668E2
2.489543292E0,-9.980468750E1,-6.448635864E1,-1.571704407E2
2.499584292E0,-9.970413208E1,-6.450921631E1,-1.570317383E2
2.509626292E0,-9.966000366E1,-6.457640076E1,-1.566977234E2
2.519668292E0,-9.959867859E1,-6.425006104E1,-1.570311890E2
2.529709292E0,-9.956915283E1,-6.415158081E1,-1.569696960E2
2.539751292E0,-9.946803284E1,-6.431947327E1,-1.568308411E2
2.549793292E0,-9.950617981E1,-6.444905090E1,-1.571240845E2
2.559834292E0,-9.944096375E1,-6.470657349E1,-1.567871094E2
2.569876292E0,-9.946005249E1,-6.448071289E1,-1.568958130E2
2.579918292E0,-9.953692627E1,-6.451419067E1,-1.568067017E2
2.589959292E0,-9.977412415E1,-6.450730896E1,-1.569080200E2
2.600001292E0,-9.987126160E1,-6.455635071E1,-1.570440674E2
2.610043292E0,-9.971237183E1,-6.443109131E1,-1.568443604E2
2.620084292E0,-9.978129578E1,-6.438301086E1,-1.570513916E2
2.630126292E0,-9.945526123E1,-6.452842712E1,-1.572021790E2
2.640168292E0,-9.934228516E1,-6.479464722E1,-1.567459717E2
2.650209292E0,-9.941793823E1,-6.480165100E1,-1.566270447E2
2.660251292E0,-9.947897339E1,-6.467643738E1,-1.566076965E2
2.670293292E0,-9.961857605E1,-6.466545105E1,-1.569538269E2
2.680334292E0,-9.942900085E1,-6.454431152E1,-1.570731506E2
2.690376292E0,-9.939956665E1,-6.445796204E1,-1.568408203E2
2.700418292E0,-9.933020020E1,-6.457092285E1,-1.571508484E2
2.710459292E0,-9.920182800E1,-6.451708984E1,-1.570046997E2
2.720501292E0,-9.922357178E1,-6.449795532E1,-1.570779114E2
2.730543292E0,-9.938745117E1,-6.469906616E1,-1.568952026E2
2.740584292E0,-9.920823669E1,-6.464483643E1,-1.567248535E2
2.750626292E0,-9.915916443E1,-6.444783020E1,-1.569491272E2
2.760668292E0,-9.935083008E1,-6.456159973E1,-1.567174072E2
2.770709292E0,-9.958714294E1,-6.447451782E1,-1.571731873E2
2.780751292E0,-9.947888184E1,-6.448596191E1,-1.568462830E2
2.790793292E0,-9.953778076E1,-6.441943359E1,-1.571480103E2
2.800834292E0,-9.938127136E1,-6.448847961E1,-1.572697144E2
2.810876292E0,-9.950573730E1,-6.475096130E1,-1.570604858E2
2.820918292E0,-9.953436279E1,-6.474775696E1,-1.572698364E2
2.830959292E0,-9.957621765E1,-6.452214050E1,-1.569700928E2
2.841001292E0,-9.918151855E1,-6.463862610E1,-1.567329712E2
2.851043292E0,-9.953291321E1,-6.442942810E1,-1.570892334E2
2.861084292E0,-9.947999573E1,-6.451910400E1,-1.569425354E2
2.871126292E0,-9.928555298E1,-6.470320129E1,-1.566151428E2
2.881168292E0,-9.943721008E1,-6.468487549E1,-1.566961365E2
2.891209292E0,-9.959785461E1,-6.458854675E1,-1.567745056E2
2.901251292E0,-9.957386780E1,-6.459428406E1,-1.573336182E2
2.911293292E0,-9.939366150E1,-6.442936707E1,-1.575337219E2
2.921334292E0,-9.954690552E1,-6.448776245E1,-1.575198669E2
2.931376292E0,-9.940379333E1,-6.476658630E1,-1.575627747E2
2.941418292E0,-9.940216064E1,-6.459397888E1,-1.572426758E2
2.951459292E0,-9.945356750E1,-6.462724304E1,-1.572813721E2
2.961501208E0,-9.947659302E1,-6.482781982E1,-1.571625366E2
2.971543208E0,-9.943048096E1,-6.474578857E1,-1.568608398E2
2.981584208E0,-9.964691162E1,-6.465501404E1,-1.571336975E2
2.991626208E0,-9.952310181E1,-6.442845154E1,-1.570488892E2
3.001668208E0,-9.958361816E1,-6.452162170E1,-1.572318115E2
3.011709208E0,-9.955545044E1,-6.453251648E1,-1.571318970E2
3.021751208E0,-9.923547363E1,-6.464514160E1,-1.572127075E2
3.031793208E0,-9.946301270E1,-6.480183411E1,-1.571688843E2
3.041834208E0,-9.939274597E1,-6.458497620E1,-1.570907593E2
3.051876208E0,-9.941107178E1,-6.446791077E1,-1.571983337E2
3.061918208E0,-9.974098206E1,-6.445872498E1,-1.570993652E2
3.071959208E0,-9.936312866E1,-6.457664490E1,-1.573863525E2
3.082001208E0,-9.959977722E1,-6.474446106E1,-1.572399902E2
3.092043208E0,-9.964050293E1,-6.479214478E1,-1.571186829E2
3.102084208E0,-9.959910583E1,-6.477200317E1,-1.569231567E2
3.112126208E0,-9.966726685E1,-6.455857849E1,-1.574015198E2
3.122168208E0,-9.966464233E1,-6.472822571E1,-1.573432312E2
3.132209208E0,-9.951206970E1,-6.474909973E1,-1.573566895E2
3.142251208E0,-9.921350098E1,-6.479933167E1,-1.572701111E2
3.152293208E0,-9.952021790E1,-6.485607910E1,-1.567889709E2
3.162334208E0,-9.941290283E1,-6.466101074E1,-1.572266235E2
3.172376208E0,-9.932852173E1,-6.451713562E1,-1.570354309E2
3.182418208E0,-9.948782349E1,-6.467236328E1,-1.568501282E2
3.192459208E0,-9.932551575E1,-6.466416931E1,-1.570069885E2
3.202501208E0,-9.944877625E1,-6.455784607E1,-1.568957214E2
3.212543208E0,-9.947480774E1,-6.465788269E1,-1.567107239E2
3.222584208E0,-9.950761414E1,-6.476362610E1,-1.566208191E2
3.232626208E0,-9.944595337E1,-6.459696960E1,-1.569497375E2
3.242668208E0,-9.956814575E1,-6.446168518E1,-1.568890991E2
3.252709208E0,-9.975544739E1,-6.471841431E1,-1.570870972E2
3.262751208E0,-9.974638367E1,-6.488761902E1,-1.572715454E2
3.272793208E0,-9.988517761E1,-6.465946960E1,-1.570686646E2
3.282834208E0,-9.972250366E1,-6.468426514E1,-1.568584290E2
3.292876208E0,-9.963549805E1,-6.488026428E1,-1.567282104E2
3.302918208E0,-9.941807556E1,-6.492132568E1,-1.567913208E2
3.312959208E0,-9.944775391E1,-6.484220886E1,-1.571376038E2
3.323001208E0,-9.956823730E1,-6.476141357E1,-1.569224243E2
3.333043208E0,-9.937710571E1,-6.470669556E1,-1.569590759E2
