time,x,y,z
3534,-0.0040867925,0.0031155124,0.056606293
3553,0.0018930435,0.007827826,0.06618309
3572,-0.005334735,-0.005321279,0.051820755
3591,0.0078063607,-0.0041624233,0.041049004
3610,0.011362851,-0.00659509,0.057808876
3629,0.006385267,-7.117018E-4,0.061411858
3648,0.0028403401,0.007543139,0.04943657
3668,3.8421154E-4,0.002633594,0.045847893
3686,4.3910742E-4,0.0026328638,0.06380081
3706,0.0027666688,-0.003322132,0.048244476
3725,0.0013911128,-0.004563488,0.047058105
3744,0.0025801063,-0.002163805,0.06501293
3763,0.005981207,-8.435026E-4,0.054252625
3781,0.004996717,0.0015067756,0.05304241
3801,2.0843744E-4,0.0037970096,0.061421394
3820,-0.00223881,0.003857173,0.049453735
3839,2.0712614E-4,-0.002232127,0.045859337
3859,0.0062883496,-0.0045143142,0.06620121
3877,-0.0021517277,-0.003230013,0.060222626
3896,-7.3075294E-4,-9.433031E-4,0.03626728
3915,0.0042081475,0.002707541,0.05780506
3935,0.0042518973,-0.0055889785,0.057803154
3952,0.0030979514,-0.00335975,0.041041374
3972,7.559657E-4,0.0011969879,0.054203033
3991,0.0031417012,-0.0036883429,0.064977646
4010,0.005402684,-0.0025979504,0.050619125
4029,0.010216832,-0.0036070868,0.054210663
4048,0.011323035,-0.0024567768,0.05780697
4067,4.313588E-4,0.003525637,0.05182743
4086,-0.005485058,0.0035227835,0.049429893
4105,6.676316E-4,-0.0013119131,0.0589962
4125,0.004245162,-1.077801E-4,0.058997154
4143,0.0054185987,0.004667029,0.06019497
4162,0.012678146,-0.0014213845,0.061387062
4182,7.606149E-4,-0.003851369,0.055397987
4201,-0.0015749931,-1.957789E-4,0.051804543
4220,-0.002880931,-0.008547828,0.055401802
4239,-0.001740396,-5.7786703E-5,0.053011894
4258,-4.890561E-4,0.0011397228,0.048220634
4277,0.011334479,0.0022268444,0.05780506
4296,-0.0018302202,0.0010905936,0.05541134
4315,0.006470442,0.0010910854,0.05062771
4335,5.9479475E-4,0.0034823492,0.05301571
4353,-0.0039570928,-0.0037359819,0.051804543
4371,0.003327787,-0.00734964,0.050600052
4391,0.010534406,0.0034745634,0.052993774
