time,x,y,z,absolute
1.042218750E0,2.448144848E0,-7.957127689E-2,2.081959605E-2,2.449526125E0
1.052174750E0,2.226367121E0,-1.469277386E-1,-3.159718394E-2,2.231433776E0
1.062129750E0,2.458977545E0,-3.489131155E-1,-5.884403944E-2,2.484305447E0
1.072084750E0,2.182711516E0,-3.055754900E-1,3.218424439E-2,2.204232694E0
1.082040750E0,2.357863253E0,8.305672905E-4,6.936727345E-2,2.358883556E0
1.091995750E0,2.110772637E0,7.275188855E-2,-2.316117203E-1,2.124687731E0
1.101950750E0,1.315265234E0,-7.362511539E-2,4.789454341E-3,1.317332999E0
1.111905750E0,5.204153128E-1,-8.938965647E-2,-1.002516818E-1,5.374690765E-1
1.121861750E0,6.478298329E-2,-9.778261277E-2,-6.581041217E-3,1.174801447E-1
1.131816750E0,1.447917653E0,-2.386596069E-1,-6.469359398E-2,1.468880253E0
1.141771750E0,1.877035016E0,-5.387663971E-1,-2.537340760E-1,1.969241139E0
1.151727750E0,1.019156806E-1,-9.839133898E-1,1.219676560E-1,9.966686880E-1
1.161682750E0,3.153704533E-1,-1.008948828E0,-1.809309787E-1,1.072460852E0
1.171637750E0,-1.210838567E0,-7.904301202E-1,-7.400236130E-2,1.447890244E0
1.181592750E0,-2.040680017E0,-2.426791474E-1,-1.233423364E-1,2.058757254E0
1.191548750E0,-1.570824957E0,6.386774786E-1,-2.972139716E-2,1.695960886E0
1.201503750E0,-6.097736318E-1,1.093790758E0,3.222926795E-2,1.252693430E0
1.211458750E0,2.289865763E-1,1.057266856E0,-3.935000718E-2,1.082495488E0
1.221414750E0,6.197751115E-1,8.336867984E-1,-1.706977665E-2,1.038964024E0
1.231369750E0,-5.701299482E-1,1.376834642E-1,-1.743259639E-1,6.118777949E-1
1.241324750E0,-1.323480425E0,-4.043693879E-1,-2.901446879E-2,1.384180941E0
1.251280750E0,-2.120447440E-1,-2.307631980E-1,2.516817033E-2,3.144011193E-1
1.261235750E0,1.469962606E-2,-1.354318659E-1,4.952006936E-3,1.363172465E-1
1.271190750E0,4.812774864E-1,-5.980146619E-2,-1.869004011E-2,4.853385951E-1
1.281146750E0,-2.383594620E-1,-2.779829179E-1,4.148774922E-2,3.685253982E-1
1.291101750E0,6.511957095E-1,-2.701399196E-1,-1.636202967E-1,7.237423780E-1
1.301056750E0,1.948957961E0,-3.064481869E-1,-1.842866957E-2,1.972989417E0
1.311011750E0,2.225095498E0,-4.345063393E-1,-1.591495156E-2,2.267178647E0
1.320967750E0,3.938045655E-1,-3.177460674E-1,1.969576120E-2,5.063916687E-1
1.330922750E0,-3.125552748E-1,-2.080592636E-1,-9.916877747E-2,3.883476579E-1
