time,x,y,z,absolute
5.001448833E0,-2.637782769E-1,-9.138293208E-1,4.835471928E-2,9.523660986E-1
5.011406833E0,-1.524236096E-1,-9.293384025E-1,-8.707673550E-2,9.457722670E-1
5.021363833E0,-7.444294900E-2,-8.940172000E-1,-2.019236523E-1,9.195551468E-1
5.031321833E0,-2.007049464E-2,-8.808679084E-1,-1.802801836E-1,8.993509000E-1
5.041278833E0,6.814052761E-2,-8.492976216E-1,-5.124148965E-2,8.535662082E-1
5.051236833E0,2.395205180E-1,-7.500613819E-1,6.389720321E-2,7.899651940E-1
5.061193833E0,3.873976982E-1,-7.113514256E-1,3.523473680E-2,8.107646477E-1
5.071151833E0,3.728360847E-1,-6.465498774E-1,-1.932013607E-1,7.709476349E-1
5.081108833E0,3.481245454E-1,-4.823627662E-1,-4.459647989E-1,7.434710076E-1
5.091066833E0,3.146174050E-1,-4.695359485E-1,-4.584222919E-1,7.277356087E-1
5.101023833E0,3.321215932E-1,-5.330644117E-1,-2.697408289E-1,6.835367835E-1
5.110981833E0,3.891666272E-1,-4.892677432E-1,2.892032862E-3,6.251735375E-1
5.120938833E0,2.963386069E-1,-3.597625876E-1,1.264162177E-1,4.829355542E-1
5.130896833E0,1.081488216E-1,-2.558516452E-1,1.913062781E-1,3.372748493E-1
5.140853833E0,-1.217001824E-1,-3.224167867E-1,3.149228489E-1,4.668403577E-1
5.150811833E0,-1.976581450E-1,-6.379863377E-1,6.059978288E-1,9.018473695E-1
5.160768833E0,-8.396378752E-2,-9.919243676E-1,1.075785354E0,1.465700514E0
5.170726833E0,1.470801316E-2,-1.303731162E0,1.545971659E0,2.022364863E0
5.180683833E0,-8.111180808E-2,-1.490555403E0,2.037551757E0,2.525856626E0
5.190641833E0,-1.523116355E-1,-1.385579902E0,2.259327291E0,2.654729799E0
5.200598833E0,-1.772208107E-1,-1.225993746E0,2.104806431E0,2.442269025E0
5.210556833E0,-1.620780570E-1,-1.134791069E0,1.597591463E0,1.966295642E0
5.220513833E0,-2.423827301E-1,-1.116405815E0,7.076499188E-1,1.343830249E0
5.230471833E0,-2.623004297E-1,-1.092483028E0,-3.144813842E-1,1.166713000E0
5.240428833E0,-1.890292992E-1,-1.078817501E0,-1.259686718E0,1.669248305E0
5.250386833E0,-2.919103277E-1,-1.110925512E0,-1.961446736E0,2.273024512E0
5.260343833E0,-3.720240527E-1,-1.158466810E0,-2.447433972E0,2.733199644E0
5.270301833E0,-3.481780840E-1,-1.156785443E0,-2.651597108E0,2.913820133E0
5.280258833E0,-3.185851794E-1,-1.151113060E0,-2.452612267E0,2.727978138E0
5.290216833E0,-2.171938021E-1,-1.078641719E0,-1.994294055E0,2.277685203E0
5.300173833E0,-1.150652372E-1,-1.024566595E0,-1.462602643E0,1.789464503E0
5.310131833E0,-4.579246938E-2,-9.772412782E-1,-9.225035191E-1,1.344659886E0
5.320088833E0,1.910299972E-2,-8.966437693E-1,-4.896990484E-1,1.021831753E0
5.330046833E0,1.148810865E-1,-8.856616750E-1,-1.376118815E-1,9.036212130E-1
5.340003833E0,1.659586348E-1,-9.046829599E-1,1.333264571E-1,9.293919897E-1
5.349961833E0,1.140978519E-1,-8.758243925E-1,3.922329801E-1,9.664022956E-1
5.359918833E0,6.594975863E-2,-8.056946421E-1,5.704298007E-1,9.893853570E-1
5.369876833E0,8.067666560E-2,-7.369595258E-1,7.527454001E-1,1.056524351E0
5.379833833E0,1.169315223E-2,-7.134451673E-1,9.681012762E-1,1.202647420E0
5.389791833E0,4.680900782E-2,-6.547379527E-1,1.038441526E0,1.228508719E0
5.399748833E0,1.248743069E-1,-6.000221206E-1,8.801860499E-1,1.072542596E0
5.409706833E0,1.259131379E-1,-5.710748948E-1,6.483965743E-1,8.731544945E-1
5.419663833E0,9.946062662E-2,-5.165273163E-1,3.226920444E-1,6.171086130E-1
5.429621833E0,7.406313580E-2,-4.971549793E-1,-4.556735158E-2,5.047026897E-1
5.439578833E0,2.972563639E-2,-5.029064468E-1,-3.409166461E-1,6.082948851E-1
5.449535833E0,-7.327686802E-2,-5.238776319E-1,-5.622325891E-1,7.719603337E-1
5.459493833E0,-1.151216628E-1,-4.948252293E-1,-6.682256520E-1,8.394227342E-1
5.469450833E0,-7.932095211E-2,-5.107097753E-1,-6.066316670E-1,7.969430767E-1
5.479408833E0,1.763973400E-2,-5.490555963E-1,-3.661000192E-1,6.601533398E-1
5.489365833E0,1.020853321E-1,-5.397584503E-1,-1.591489309E-1,5.719169362E-1
5.499323833E0,1.024015934E-1,-5.878769421E-1,-7.137111425E-2,6.009818810E-1
5.509280833E0,9.046537969E-2,-6.185139401E-1,-3.256606758E-2,6.259425116E-1
5.519238833E0,1.111874003E-1,-5.528719278E-1,-6.247165203E-3,5.639760931E-1
5.529195833E0,1.395618183E-1,-4.898949301E-1,6.866385341E-3,5.094327148E-1
5.539153833E0,1.854522651E-1,-4.201596475E-1,2.638088286E-2,4.600245896E-1
5.549110833E0,1.004911984E-1,-3.834419107E-1,-5.708695114E-2,4.004810854E-1
