"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.317014292E0,-2.500093842E1,1.094263077E1,-5.072953796E1,5.760446260E1
2.326970292E0,-2.530828857E1,1.087668419E1,-5.111413574E1,5.806433158E1
2.336927292E0,-2.544671631E1,1.047732925E1,-5.056028748E1,5.756433330E1
2.346883292E0,-2.547422791E1,1.016927719E1,-5.041592407E1,5.739438898E1
2.356839292E0,-2.591688538E1,1.000133705E1,-5.060783386E1,5.773096690E1
2.366796292E0,-2.587345886E1,9.881002426E0,-5.065469360E1,5.773186353E1
2.376752292E0,-2.611717224E1,9.688800812E0,-5.081794739E1,5.795207782E1
2.386709292E0,-2.625415039E1,9.398082733E0,-5.077310181E1,5.792678343E1
2.396665292E0,-2.644186401E1,8.920434952E0,-5.092988586E1,5.807408722E1
2.406621292E0,-2.657946777E1,8.968534470E0,-5.085675049E1,5.808021856E1
2.416578292E0,-2.675038147E1,8.673662186E0,-5.089222717E1,5.814494055E1
2.426534292E0,-2.692837524E1,8.410945892E0,-5.108465576E1,5.835686299E1
2.436490292E0,-2.698211670E1,8.280830383E0,-5.115403748E1,5.842381641E1
2.446447292E0,-2.718325806E1,8.094991684E0,-5.129159546E1,5.861131438E1
2.456403292E0,-2.734408569E1,7.586990356E0,-5.120890808E1,5.854582574E1
2.466360292E0,-2.745039368E1,7.197692871E0,-5.129672241E1,5.862324305E1
2.476316292E0,-2.782482910E1,6.736459732E0,-5.120019531E1,5.866055748E1
2.486272292E0,-2.807773590E1,6.298437119E0,-5.145428467E1,5.895399032E1
2.496229292E0,-2.832713318E1,5.915893555E0,-5.116958618E1,5.878563448E1
2.506185292E0,-2.841209412E1,5.538024902E0,-5.154722595E1,5.911880678E1
2.516141292E0,-2.860484314E1,5.132123947E0,-5.152474976E1,5.915552032E1
2.526098292E0,-2.864159393E1,4.687637329E0,-5.100938416E1,5.868792140E1
2.536054292E0,-2.879586792E1,4.620721817E0,-5.103109741E1,5.877691709E1
2.546011292E0,-2.888228607E1,4.055932999E0,-5.117053223E1,5.889873012E1
2.555967292E0,-2.923368073E1,3.615880966E0,-5.137080383E1,5.921690781E1
2.565923292E0,-2.906121063E1,3.291748047E0,-5.118000793E1,5.894728815E1
2.575880292E0,-2.951447296E1,3.086429596E0,-5.115472412E1,5.913912378E1
2.585836292E0,-2.937537384E1,2.550636292E0,-5.116502380E1,5.905317938E1
2.595792292E0,-2.952519226E1,2.158538818E0,-5.138435364E1,5.930217590E1
2.605749292E0,-2.962567902E1,1.831571579E0,-5.134652710E1,5.930852685E1
2.615705292E0,-2.959689331E1,1.456838608E0,-5.148097229E1,5.940024394E1
2.625662292E0,-2.965336609E1,1.161939621E0,-5.152206421E1,5.945750856E1
2.635618292E0,-2.974718475E1,1.016508102E0,-5.164880371E1,5.961146881E1
2.645574292E0,-2.971408844E1,7.139186859E-1,-5.157110596E1,5.952323665E1
2.655531292E0,-2.976360321E1,3.447685242E-1,-5.164215088E1,5.960623029E1
2.665487292E0,-2.990560150E1,2.987670898E-2,-5.168344116E1,5.971200871E1
2.675444292E0,-2.994746399E1,-2.777099609E-2,-5.182464600E1,5.985520281E1
2.685400292E0,-3.008823395E1,-6.557273865E-2,-5.159741211E1,5.972938187E1
2.695356292E0,-3.007373810E1,-4.370937347E-1,-5.098666382E1,5.919679604E1
2.705313292E0,-3.018355560E1,-9.490604401E-1,-5.162548828E1,5.980918646E1
2.715269292E0,-2.992151642E1,-1.270059586E0,-5.169375610E1,5.974240216E1
2.725225292E0,-3.012970734E1,-1.324054718E0,-5.146897888E1,5.965407088E1
2.735182292E0,-3.049956512E1,-1.685251236E0,-5.192016602E1,6.023924953E1
2.745138292E0,-3.016421509E1,-1.718189240E0,-5.178678894E1,5.995584671E1
2.755095292E0,-3.021003723E1,-1.990747452E0,-5.137968445E1,5.963624233E1
2.765051292E0,-3.036627960E1,-2.262636185E0,-5.156703186E1,5.988646954E1
2.775007292E0,-3.070771027E1,-2.276880264E0,-5.171984863E1,6.019211241E1
2.784964292E0,-3.054540253E1,-2.831766129E0,-5.158604431E1,6.001800132E1
2.794920292E0,-3.058977509E1,-3.129886627E0,-5.174818420E1,6.019472650E1
2.804876292E0,-3.057444000E1,-3.347702026E0,-5.173033142E1,6.018330898E1
2.814833292E0,-3.031619263E1,-3.650697708E0,-5.166409302E1,6.001314553E1
2.824789292E0,-3.032788849E1,-4.053813934E0,-5.172540283E1,6.009768320E1
2.834746292E0,-3.025800323E1,-4.426465988E0,-5.187358093E1,6.021634960E1
2.844702292E0,-3.042255402E1,-4.870366096E0,-5.196600342E1,6.041289407E1
2.854658292E0,-3.065410614E1,-5.252203941E0,-5.212368774E1,6.069710614E1
2.864615292E0,-3.052041626E1,-5.449953079E0,-5.248173523E1,6.095515015E1
2.874571292E0,-3.039306641E1,-5.531046867E0,-5.225006104E1,6.069925735E1
2.884527292E0,-3.057027435E1,-5.882862091E0,-5.242198181E1,6.096895864E1
2.894484292E0,-3.045186615E1,-6.397952080E0,-5.210043335E1,6.068529557E1
2.904440292E0,-3.049894714E1,-6.805956841E0,-5.210618591E1,6.075822114E1
2.914397292E0,-3.074448395E1,-7.349865913E0,-5.234149170E1,6.114634556E1
2.924353292E0,-3.068845367E1,-7.345566750E0,-5.241534424E1,6.118093536E1
2.934309292E0,-3.066716003E1,-8.013144493E0,-5.190826416E1,6.082066324E1
2.944266292E0,-3.051768494E1,-8.189793587E0,-5.208941650E1,6.092379769E1
2.954222292E0,-3.042426300E1,-8.543293953E0,-5.197599792E1,6.082867754E1
2.964178292E0,-3.036840820E1,-8.823863983E0,-5.228642273E1,6.110622549E1
2.974135292E0,-3.040845490E1,-9.212224960E0,-5.221987915E1,6.112654903E1
2.984091292E0,-3.020388794E1,-9.456018448E0,-5.197116089E1,6.084975510E1
2.994048292E0,-3.022868347E1,-9.673840523E0,-5.196588135E1,6.089178368E1
3.004004292E0,-3.024790955E1,-1.005019283E1,-5.172528076E1,6.075728004E1
3.013960292E0,-3.008789825E1,-1.043068695E1,-5.187005615E1,6.086529041E1
3.023917292E0,-3.014128876E1,-1.060193157E1,-5.227279663E1,6.126453712E1
3.033873292E0,-3.038331604E1,-1.086326885E1,-5.225015259E1,6.141038144E1
3.043830292E0,-3.017943573E1,-1.107714367E1,-5.202189636E1,6.115373377E1
3.053786292E0,-2.999964142E1,-1.132447052E1,-5.218554688E1,6.124992588E1
3.063742292E0,-2.991275787E1,-1.174530888E1,-5.187773132E1,6.102478489E1
3.073699292E0,-2.981939697E1,-1.202684784E1,-5.195172119E1,6.109683167E1
3.083655292E0,-2.994876862E1,-1.248416805E1,-5.235272217E1,6.159213190E1
3.093611292E0,-2.990863037E1,-1.268288898E1,-5.202665710E1,6.133640757E1
3.103568292E0,-2.961227417E1,-1.296787453E1,-5.201481628E1,6.124209063E1
3.113524292E0,-2.953547668E1,-1.318567467E1,-5.182170105E1,6.108760184E1
3.123481292E0,-2.940605927E1,-1.362130547E1,-5.202407837E1,6.129242216E1
3.133437292E0,-2.918620300E1,-1.412674999E1,-5.226261902E1,6.150431577E1
3.143393292E0,-2.907241058E1,-1.419436646E1,-5.222070312E1,6.143034210E1
3.153350292E0,-2.901793671E1,-1.447544289E1,-5.207775879E1,6.134877389E1
3.163306292E0,-2.907105255E1,-1.474759293E1,-5.181088257E1,6.121262244E1
3.173263292E0,-2.870761871E1,-1.474655342E1,-5.212019348E1,6.130336678E1
3.183219292E0,-2.875079346E1,-1.506306076E1,-5.204798889E1,6.133919686E1
3.193175292E0,-2.856353760E1,-1.542595482E1,-5.189842224E1,6.121504711E1
