"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.877748583E0,-4.857142639E1,-3.589833260E0,-9.144271851E0
2.887703583E0,-4.835301208E1,-3.524994850E0,-8.909439087E0
2.897659583E0,-4.836941528E1,-3.341218948E0,-8.810363770E0
2.907614583E0,-4.838298035E1,-3.676650047E0,-8.668594360E0
2.917569583E0,-4.855586243E1,-3.559680939E0,-8.544021606E0
2.927525583E0,-4.849009705E1,-3.807456017E0,-8.867370605E0
2.937480583E0,-4.839030457E1,-3.639765739E0,-8.878677368E0
2.947435583E0,-4.844927979E1,-3.652765274E0,-9.083511353E0
2.957391583E0,-4.822810364E1,-3.587345123E0,-8.990554810E0
2.967346583E0,-4.836436462E1,-3.452383041E0,-9.095932007E0
2.977301583E0,-4.859350586E1,-3.532529831E0,-9.066131592E0
2.987257583E0,-4.848336792E1,-3.531270981E0,-9.162963867E0
2.997212583E0,-4.842309570E1,-3.416884422E0,-8.948059082E0
3.007168583E0,-4.850634766E1,-3.457826614E0,-8.799545288E0
3.017123583E0,-4.854383850E1,-3.599204063E0,-9.048156738E0
3.027078583E0,-4.866464233E1,-3.730721474E0,-8.866439819E0
3.037034583E0,-4.838606262E1,-3.750698090E0,-9.203353882E0
3.046989583E0,-4.818016052E1,-3.518283844E0,-9.272201538E0
3.056944583E0,-4.836459351E1,-3.497819901E0,-9.508132935E0
3.066900583E0,-4.833666992E1,-3.653104782E0,-9.150619507E0
3.076855583E0,-4.832135010E1,-3.668209076E0,-9.116241455E0
3.086810583E0,-4.840602112E1,-3.591216087E0,-9.236419678E0
3.096766583E0,-4.839683533E1,-3.595720291E0,-9.208892822E0
3.106721583E0,-4.849530029E1,-3.618528366E0,-9.203735352E0
3.116677583E0,-4.851829529E1,-3.627192497E0,-8.873031616E0
3.126632583E0,-4.854217529E1,-3.788224220E0,-9.102600098E0
3.136587583E0,-4.844937134E1,-4.051130295E0,-9.261657715E0
3.146543583E0,-4.844654846E1,-3.850141525E0,-9.446701050E0
3.156498583E0,-4.862969971E1,-3.956329346E0,-9.118484497E0
3.166453583E0,-4.875749207E1,-3.765469551E0,-8.912139893E0
3.176409583E0,-4.852613831E1,-3.801107407E0,-8.767517090E0
3.186364583E0,-4.848904419E1,-3.885566711E0,-8.829040527E0
3.196319583E0,-4.834716797E1,-3.863113403E0,-8.854522705E0
3.206275583E0,-4.828370667E1,-3.879940987E0,-8.909774780E0
3.216230583E0,-4.844154358E1,-3.946711540E0,-9.457351685E0
3.226186583E0,-4.831759644E1,-3.867230415E0,-9.185882568E0
3.236141708E0,-4.838908386E1,-3.717689514E0,-8.914459229E0
3.246096708E0,-4.840072632E1,-3.756147385E0,-9.157302856E0
3.256052708E0,-4.836201477E1,-3.711442947E0,-9.223846436E0
3.266007708E0,-4.848146057E1,-3.911101341E0,-9.187683105E0
3.275962708E0,-4.845402527E1,-3.811641693E0,-8.919647217E0
3.285918708E0,-4.863307190E1,-3.687841415E0,-8.814147949E0
3.295873708E0,-4.838208008E1,-3.720689774E0,-8.773132324E0
3.305828708E0,-4.858570862E1,-3.698677063E0,-9.262451172E0
3.315784708E0,-4.844841003E1,-3.942202568E0,-8.835357666E0
3.325739708E0,-4.846298218E1,-3.625969887E0,-8.725189209E0
3.335695708E0,-4.852426147E1,-3.532420158E0,-8.906738281E0
3.345650708E0,-4.844721985E1,-3.702816963E0,-8.891876221E0
3.355605708E0,-4.839611816E1,-3.827911377E0,-8.803802490E0
3.365561708E0,-4.851116943E1,-3.727719307E0,-8.437255859E0
3.375516708E0,-4.869657898E1,-3.754100800E0,-8.541412354E0
3.385471708E0,-4.870713806E1,-3.820281982E0,-8.292968750E0
3.395427708E0,-4.857620239E1,-3.878634453E0,-8.902938843E0
3.405382708E0,-4.850819397E1,-3.877874374E0,-8.454788208E0
3.415337708E0,-4.838871765E1,-3.926561356E0,-9.002090454E0
3.425293708E0,-4.836244202E1,-3.837393761E0,-9.160461426E0
3.435248708E0,-4.841961670E1,-3.916131973E0,-9.227355957E0
3.445204708E0,-4.823910522E1,-3.863144875E0,-9.072494507E0
3.455159708E0,-4.838508606E1,-3.608283997E0,-8.769592285E0
3.465114708E0,-4.833436584E1,-3.590087891E0,-9.329666138E0
3.475070708E0,-4.844833374E1,-3.628147125E0,-9.319030762E0
3.485025708E0,-4.868135071E1,-3.725106239E0,-9.351974487E0
3.494980708E0,-4.855714417E1,-3.797359467E0,-9.383804321E0
3.504936708E0,-4.868252563E1,-3.637732506E0,-9.000961304E0
3.514891708E0,-4.856076050E1,-3.466014862E0,-9.538589478E0
3.524847708E0,-4.831835938E1,-3.807704926E0,-9.394134521E0
3.534802708E0,-4.846748352E1,-3.705278397E0,-9.379043579E0
3.544757708E0,-4.841560364E1,-3.722901344E0,-9.567398071E0
3.554713708E0,-4.853002930E1,-3.575748444E0,-9.302505493E0
3.564668708E0,-4.852369690E1,-3.400571823E0,-9.152938843E0
3.574623708E0,-4.856799316E1,-3.496967316E0,-9.143768311E0
3.584579708E0,-4.848075867E1,-3.778264999E0,-9.103546143E0
3.594534708E0,-4.846528625E1,-3.789892197E0,-8.884567261E0
3.604489708E0,-4.842933655E1,-3.872233391E0,-9.068527222E0
3.614445708E0,-4.833184814E1,-3.826221466E0,-9.125045776E0
3.624400708E0,-4.810594177E1,-3.652311325E0,-9.324935913E0
3.634355708E0,-4.847070312E1,-3.730619431E0,-9.239212036E0
3.644311708E0,-4.859031677E1,-3.830213547E0,-9.362960815E0
3.654266708E0,-4.870075989E1,-3.833201408E0,-8.959640503E0
3.664222708E0,-4.867900085E1,-3.779264450E0,-9.136993408E0
3.674177708E0,-4.862327576E1,-3.807118416E0,-9.370346069E0
3.684132708E0,-4.852334595E1,-3.667996407E0,-9.575256348E0
3.694088708E0,-4.852610779E1,-3.742822647E0,-9.413879395E0
3.704043708E0,-4.838888550E1,-3.828938484E0,-9.354980469E0
3.713998708E0,-4.839550781E1,-3.835359573E0,-8.982727051E0
3.723954708E0,-4.839550781E1,-3.835359573E0,-8.982727051E0
3.733909708E0,-4.849275208E1,-3.962022781E0,-8.968383789E0
3.743865708E0,-4.821897888E1,-3.688799858E0,-8.998413086E0
3.753820708E0,-4.806588745E1,-3.823387146E0,-9.243072510E0
3.763775708E0,-4.801417542E1,-3.881220818E0,-9.266723633E0
3.773731708E0,-4.806658936E1,-3.842304230E0,-9.141830444E0
3.783686708E0,-4.804064941E1,-3.754270554E0,-9.131317139E0
3.793641708E0,-4.819445801E1,-3.766187668E0,-9.202407837E0
3.803597708E0,-4.807894897E1,-3.597139359E0,-9.153839111E0
3.813552708E0,-4.793788147E1,-3.610134125E0,-9.158065796E0
3.823507708E0,-4.820666504E1,-3.634867668E0,-9.449356079E0
3.833463708E0,-4.829260254E1,-3.891152382E0,-9.317489624E0
3.843418708E0,-4.827082825E1,-3.947806358E0,-9.514068604E0
3.853374708E0,-4.831272888E1,-4.035244942E0,-9.605148315E0
3.863329708E0,-4.834654236E1,-3.911585808E0,-9.651046753E0
3.873284708E0,-4.838502502E1,-3.812379837E0,-9.629714966E0
3.883240708E0,-4.799057007E1,-3.738199234E0,-9.960342407E0
3.893195708E0,-4.823284912E1,-3.785345078E0,-9.610183716E0
3.903150708E0,-4.822859192E1,-3.805836678E0,-9.624603271E0
3.913106708E0,-4.820693970E1,-3.665699959E0,-9.605255127E0
