"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.148649042E0,5.976596149E-4,-3.019967582E-3,-2.526436001E-4,3.088888150E-3
1.158606042E0,-3.329704050E-3,-1.309705549E-4,-7.208273746E-4,3.409351031E-3
1.168563042E0,1.375679858E-4,2.281195251E-3,1.563471043E-3,2.768974256E-3
1.178519042E0,2.411650494E-4,8.342998917E-4,-1.756425481E-3,1.959399745E-3
1.188476042E0,4.230596824E-4,3.389352001E-3,6.733881310E-5,3.416316876E-3
1.198432042E0,3.602341283E-3,6.103435298E-4,-2.573006786E-4,3.662729253E-3
1.208389042E0,1.520602964E-4,1.206813613E-4,-9.407196194E-4,9.605413718E-4
1.218346042E0,9.723139228E-4,-3.155611921E-6,8.225592319E-4,1.273580784E-3
1.228302042E0,-4.046096001E-4,-1.931446604E-4,1.898996998E-3,1.951205624E-3
1.238259042E0,-1.339645591E-3,-5.662534386E-4,-1.847883686E-5,1.454522166E-3
1.248215042E0,-8.962838911E-4,-1.053715125E-3,-6.755273789E-4,1.539473162E-3
1.258172042E0,2.148508327E-3,6.357942475E-4,-1.026798505E-3,2.464677976E-3
1.268129042E0,-1.207185909E-3,-7.223127177E-4,-1.256559510E-3,1.886259601E-3
1.278085042E0,1.415228704E-3,9.341345867E-5,-3.683147952E-5,1.418786424E-3
1.288042042E0,3.694496350E-3,-4.481571959E-4,1.972717931E-3,4.212097363E-3
1.297998042E0,-2.959840931E-4,-9.855830576E-4,6.959985476E-4,1.242334305E-3
1.307955042E0,7.464804221E-4,-2.145644976E-4,1.206967048E-3,1.435284083E-3
1.317912042E0,1.254611532E-3,-3.482552711E-4,-2.714271192E-3,3.010415242E-3
1.327868042E0,-2.015966456E-4,1.249342109E-3,-5.367412232E-4,1.374622877E-3
1.337825042E0,-3.041282762E-4,-7.815845311E-4,-1.457395963E-3,1.681478927E-3
1.347781042E0,8.510282496E-4,1.234425232E-3,4.296870902E-4,1.559706937E-3
1.357738042E0,-1.615058864E-3,-8.076866507E-4,-1.689912751E-4,1.813651265E-3
1.367695042E0,-2.107499167E-3,1.144530484E-3,2.195360139E-5,2.398329571E-3
1.377651042E0,4.113907926E-5,7.439909969E-4,-2.567437943E-3,2.673378503E-3
1.387608042E0,-1.660819398E-3,-2.310599084E-4,-6.604520604E-4,1.802194961E-3
1.397565042E0,-1.217669342E-3,1.227287110E-3,7.275873795E-4,1.875722706E-3
1.407521042E0,5.703187780E-4,3.135144943E-4,-1.193122007E-3,1.359078721E-3
1.417478042E0,-1.480315113E-3,-6.686593406E-4,1.017035451E-3,1.916454867E-3
1.427434042E0,6.638286868E-4,-5.966212484E-4,2.385466360E-4,9.238668394E-4
1.437391042E0,2.019377658E-3,-1.535651740E-3,9.256422054E-4,2.700541776E-3
1.447348042E0,6.592600839E-4,1.015404123E-4,-1.182774082E-3,1.357898686E-3
1.457304042E0,-6.968216039E-4,5.733192666E-5,-7.836101577E-5,7.035536556E-4
1.467261042E0,-2.513546729E-3,1.049055951E-3,-1.856214367E-4,2.729998327E-3
1.477217042E0,-1.747621456E-3,8.975221426E-4,3.629897255E-4,1.997870940E-3
1.487174042E0,2.549799392E-3,-2.697501332E-4,-4.279143177E-4,2.599490861E-3
1.497131042E0,3.044883488E-4,-4.178361269E-5,6.788955070E-4,7.452235465E-4
1.507087042E0,2.874023747E-3,-1.536139869E-3,5.494109355E-4,3.304782984E-3
1.517044042E0,1.933128806E-3,1.958193723E-3,-6.631202996E-5,2.752436543E-3
1.527000042E0,-1.261962811E-3,3.918691364E-4,1.419299748E-3,1.939206882E-3
1.536957042E0,-5.503662396E-4,-1.777009107E-3,-1.055309549E-3,2.138771285E-3
1.546914042E0,-1.439356478E-3,-7.986595156E-4,1.288973494E-3,2.090707239E-3
1.556870042E0,3.737029620E-3,2.349729650E-3,1.282848185E-3,4.596990240E-3
1.566827042E0,9.614555165E-5,-7.664816803E-4,1.414191443E-3,1.611420359E-3
1.576783042E0,-1.491630916E-3,-1.700718654E-3,-1.124866307E-3,2.526406724E-3
1.586740042E0,-1.053882763E-3,9.698820650E-4,1.385737443E-3,1.992889450E-3
1.596697042E0,-1.510881120E-3,-7.814127021E-4,-9.565129876E-4,1.951482684E-3
1.606653042E0,1.485086279E-3,1.470017014E-3,1.937009394E-3,2.849287046E-3
1.616610042E0,1.660588663E-3,-4.980589147E-4,2.251295373E-4,1.748227874E-3
1.626566042E0,1.298971940E-3,7.188539603E-4,6.109811366E-4,1.605421149E-3
1.636523042E0,3.373308107E-3,-1.700894209E-3,-1.670016441E-3,4.130520985E-3
1.646480042E0,-1.614716137E-3,1.603190904E-4,-6.807204336E-4,1.759656422E-3
1.656436542E0,-1.210714690E-3,8.183862083E-4,-9.694071487E-4,1.753663670E-3
1.666393542E0,2.678779187E-3,2.477056812E-3,-1.386067830E-3,3.902928697E-3
1.676349542E0,-3.977562301E-5,1.949170837E-5,1.123961527E-3,1.124834006E-3
1.686306542E0,-1.532141119E-3,1.434216159E-3,9.688362479E-5,2.100909050E-3
1.696263542E0,8.338111220E-4,-1.146386843E-3,7.730603684E-4,1.614641172E-3
1.706219542E0,3.014720045E-3,-1.671917969E-3,1.058901893E-3,3.606261203E-3
1.716176542E0,1.302503515E-4,4.104075779E-4,-8.005173877E-4,9.089706387E-4
1.726132542E0,-1.041873358E-3,6.574703730E-4,-2.796938643E-3,3.056244944E-3
1.736089542E0,1.613430213E-4,7.357673021E-4,-4.957010970E-4,9.017231675E-4
1.746046542E0,-1.810800983E-3,-4.199706600E-4,7.100403309E-4,1.989857489E-3
