"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.348512083E0,-3.538883972E1,8.944586754E0,-1.463500977E0
2.358468083E0,-3.543861389E1,8.866547585E0,-1.491195679E0
2.368425083E0,-3.547604370E1,9.109454155E0,-1.692565918E0
2.378382083E0,-3.550334167E1,9.060717583E0,-1.713577271E0
2.388338083E0,-3.594451904E1,9.116097450E0,-1.942123413E0
2.398295083E0,-3.563063049E1,9.152991295E0,-1.444564819E0
2.408252083E0,-3.553726196E1,8.947497368E0,-1.588088989E0
2.418208083E0,-3.558929443E1,9.084408760E0,-1.427963257E0
2.428165083E0,-3.557881165E1,8.931448936E0,-1.274642944E0
2.438122083E0,-3.527748108E1,9.098387718E0,-1.002441406E0
2.448079083E0,-3.537060547E1,9.086865425E0,-1.073913574E0
2.458035083E0,-3.560820007E1,9.136857033E0,-1.337020874E0
2.467992083E0,-3.556837463E1,8.858033180E0,-1.631637573E0
2.477949083E0,-3.557507324E1,8.983178139E0,-1.331619263E0
2.487905083E0,-3.551196289E1,8.988907814E0,-1.435852051E0
2.497862083E0,-3.544085693E1,9.065051079E0,-1.593292236E0
2.507819083E0,-3.560771179E1,8.818264961E0,-1.236984253E0
2.517775083E0,-3.581604004E1,8.947550774E0,-1.089233398E0
2.527732083E0,-3.564602661E1,9.228962898E0,-1.161315918E0
2.537689083E0,-3.555812073E1,9.091641426E0,-1.357315063E0
2.547645083E0,-3.555624390E1,9.026076317E0,-1.224395752E0
2.557602083E0,-3.571131897E1,9.128245354E0,-1.525680542E0
2.567559083E0,-3.570860291E1,9.048872948E0,-1.294738770E0
2.577515083E0,-3.561294556E1,9.127255440E0,-9.535827637E-1
2.587472083E0,-3.537495422E1,9.308228493E0,-1.060089111E0
2.597429083E0,-3.555166626E1,9.249361992E0,-1.283523560E0
2.607385083E0,-3.560093689E1,9.216977119E0,-1.418136597E0
2.617342083E0,-3.569746399E1,9.276442528E0,-1.424514771E0
2.627299083E0,-3.554733276E1,9.122620583E0,-1.730346680E0
2.637255083E0,-3.536331177E1,9.013159752E0,-1.610397339E0
2.647212083E0,-3.547705078E1,9.011412621E0,-1.488723755E0
2.657169083E0,-3.551176453E1,9.166861534E0,-1.579895020E0
2.667126083E0,-3.561840820E1,9.161501884E0,-1.170059204E0
2.677082083E0,-3.557717896E1,9.045281410E0,-1.324203491E0
2.687039083E0,-3.564419556E1,9.073475838E0,-1.162216187E0
2.696995083E0,-3.555615234E1,8.865887642E0,-9.413452148E-1
2.706952083E0,-3.530636597E1,9.146096230E0,-1.057312012E0
2.716909083E0,-3.528129578E1,9.219811440E0,-1.173126221E0
2.726866083E0,-3.540757751E1,9.212933540E0,-1.156311035E0
2.736822083E0,-3.540882874E1,9.357392311E0,-1.347244263E0
2.746779083E0,-3.548149109E1,9.225388527E0,-1.293334961E0
2.756736083E0,-3.561338806E1,9.187535286E0,-1.097457886E0
2.766692083E0,-3.543203735E1,9.034897804E0,-1.375061035E0
2.776649083E0,-3.566621399E1,9.174582481E0,-1.000106812E0
2.786606083E0,-3.561726379E1,9.166165352E0,-1.198257446E0
2.796562083E0,-3.559713745E1,9.251208305E0,-1.284576416E0
2.806519083E0,-3.563021851E1,9.308291435E0,-1.365051270E0
2.816476083E0,-3.577140808E1,9.343684196E0,-1.345336914E0
2.826432083E0,-3.546307373E1,9.289755821E0,-1.334136963E0
2.836389083E0,-3.552247620E1,9.174548149E0,-1.059982300E0
2.846346083E0,-3.552937317E1,9.396002769E0,-1.098892212E0
2.856302083E0,-3.551669312E1,9.131279945E0,-5.877838135E-1
2.866259083E0,-3.539631653E1,9.173632622E0,-1.182006836E0
2.876216083E0,-3.544226074E1,9.341435432E0,-1.304748535E0
2.886172083E0,-3.537571716E1,9.303952217E0,-1.039016724E0
2.896129083E0,-3.535200500E1,9.352885246E0,-1.210647583E0
2.906086083E0,-3.541104126E1,9.346409798E0,-1.203002930E0
2.916042083E0,-3.541520691E1,9.246977806E0,-1.299682617E0
2.925999083E0,-3.539999390E1,9.000750542E0,-9.874572754E-1
2.935956083E0,-3.532383728E1,9.002718925E0,-8.842773438E-1
2.945913083E0,-3.539875793E1,9.260327339E0,-9.925384521E-1
2.955869083E0,-3.551220703E1,9.200219154E0,-6.214141846E-1
2.965826083E0,-3.575282288E1,9.463042259E0,-9.157562256E-1
2.975783083E0,-3.541879272E1,9.434950829E0,-1.045913696E0
2.985739083E0,-3.564794922E1,9.198035240E0,-8.112030029E-1
2.995696083E0,-3.582283020E1,9.231984138E0,-1.024459839E0
3.005653083E0,-3.560012817E1,9.202141762E0,-7.841339111E-1
3.015609083E0,-3.562243652E1,9.223973274E0,-9.407196045E-1
3.025566083E0,-3.575259399E1,9.296162605E0,-8.460388184E-1
3.035523083E0,-3.559979248E1,9.286721230E0,-1.085708618E0
3.045479083E0,-3.541401672E1,9.283751488E0,-8.881225586E-1
3.055436083E0,-3.568536377E1,9.345290184E0,-1.002807617E0
3.065393083E0,-3.534394836E1,9.313214302E0,-8.675384521E-1
3.075349083E0,-3.537944031E1,9.303353310E0,-9.790039062E-1
3.085306083E0,-3.542488098E1,9.161149025E0,-5.199279785E-1
3.095263083E0,-3.535713196E1,9.237761497E0,-8.228302002E-1
3.105219083E0,-3.550886536E1,9.489533424E0,-1.160064697E0
3.115176083E0,-3.539842224E1,9.526007652E0,-6.072235107E-1
3.125133083E0,-3.539842224E1,9.526007652E0,-6.072235107E-1
3.135089083E0,-3.540122986E1,9.270628929E0,-1.042877197E0
3.145046083E0,-3.532469177E1,9.250571251E0,-1.266448975E0
3.155003083E0,-3.534567261E1,9.272719383E0,-1.411026001E0
3.164959083E0,-3.536544800E1,9.382573128E0,-1.250122070E0
3.174916083E0,-3.549948120E1,9.275893211E0,-1.322433472E0
3.184873083E0,-3.539775085E1,9.353249550E0,-1.263992310E0
3.194829083E0,-3.545918274E1,9.158965111E0,-1.390594482E0
3.204786083E0,-3.545422363E1,9.144474983E0,-1.511962891E0
3.214743083E0,-3.522340393E1,9.110735893E0,-9.138031006E-1
3.224699083E0,-3.545484924E1,9.112725258E0,-8.202972412E-1
3.234656083E0,-3.555471802E1,9.253878593E0,-7.820739746E-1
3.244613083E0,-3.549986267E1,9.117922783E0,-1.050643921E0
3.254570083E0,-3.553936768E1,9.117259026E0,-1.123046875E0
3.264526083E0,-3.551055908E1,9.035922050E0,-8.456115723E-1
3.274483083E0,-3.532162476E1,9.281512260E0,-1.185119629E0
3.284440083E0,-3.545477295E1,9.124554634E0,-1.367584229E0
3.294396083E0,-3.544941711E1,9.450228691E0,-1.125045776E0
3.304353083E0,-3.552655029E1,9.344029427E0,-1.232711792E0
3.314310083E0,-3.555664062E1,9.048447609E0,-1.417419434E0
3.324266083E0,-3.538824463E1,9.187205315E0,-1.598754883E0
3.334223083E0,-3.523236084E1,9.204897881E0,-1.519958496E0
3.344180083E0,-3.530137634E1,9.041836739E0,-1.406158447E0
3.354136083E0,-3.540065002E1,8.792304039E0,-1.059768677E0
3.364093083E0,-3.502714539E1,8.911625862E0,-1.134613037E0
3.374050083E0,-3.544332886E1,9.034171104E0,-1.169692993E0
3.384006083E0,-3.552595520E1,8.998442650E0,-1.456390381E0
3.393963083E0,-3.556958008E1,8.991406441E0,-1.214782715E0
3.403920083E0,-3.543826294E1,9.165413857E0,-1.075088501E0
3.413876083E0,-3.547137451E1,9.214730263E0,-8.692016602E-1
3.423833083E0,-3.543531799E1,9.171631813E0,-8.579406738E-1
3.433790083E0,-3.532269287E1,9.042019844E0,-1.135864258E0
3.443746083E0,-3.514874268E1,8.840758324E0,-1.293319702E0
3.453703083E0,-3.544262695E1,8.954716682E0,-9.707946777E-1
3.463660083E0,-3.519187927E1,8.987542152E0,-1.049652100E0
3.473616083E0,-3.544058228E1,8.861788750E0,-8.966827393E-1
3.483573083E0,-3.554989624E1,8.784474373E0,-6.408996582E-1
3.493530083E0,-3.524464417E1,8.848988533E0,-1.173660278E0
3.503486083E0,-3.527876282E1,9.083323479E0,-1.675338745E0
3.513443083E0,-3.533612061E1,9.370978355E0,-1.820190430E0
3.523400083E0,-3.544572449E1,9.173256874E0,-1.504974365E0
3.533356083E0,-3.526396179E1,9.200152397E0,-1.139129639E0
3.543313083E0,-3.561262512E1,9.146754265E0,-1.522720337E0
3.553270083E0,-3.556393433E1,9.143246651E0,-1.206344604E0
3.563227083E0,-3.564048767E1,9.153492928E0,-9.845581055E-1
3.573183083E0,-3.550764465E1,9.150208473E0,-1.612884521E0
3.583140083E0,-3.544802856E1,9.112311363E0,-1.331771851E0
3.593097083E0,-3.554846191E1,9.081889153E0,-1.334320068E0
3.603053083E0,-3.553240967E1,9.328434944E0,-1.243759155E0
3.613010083E0,-3.558724976E1,9.418133736E0,-1.301193237E0
3.622967083E0,-3.551557922E1,9.302332878E0,-1.310424805E0
3.632923083E0,-3.566444397E1,9.190245628E0,-1.347274780E0
3.642880083E0,-3.565513611E1,9.319081306E0,-1.600097656E0
3.652837083E0,-3.548771667E1,9.203318596E0,-1.547149658E0
3.662793083E0,-3.547752380E1,9.175753593E0,-1.288177490E0
3.672750083E0,-3.562268066E1,9.151108742E0,-1.342269897E0
3.682707083E0,-3.555947876E1,9.131934166E0,-7.815704346E-1
3.692663083E0,-3.552671814E1,9.313467979E0,-1.657089233E0
3.702620083E0,-3.564135742E1,9.184210777E0,-1.363998413E0
3.712577083E0,-3.549670410E1,9.403546333E0,-1.375366211E0
3.722533083E0,-3.574702454E1,9.229180336E0,-1.464019775E0
3.732490083E0,-3.560298157E1,9.233664513E0,-1.640747070E0
3.742447083E0,-3.554209900E1,9.339789391E0,-1.653808594E0
3.752403083E0,-3.552929688E1,9.326176643E0,-1.722671509E0
3.762360083E0,-3.556790161E1,9.311877251E0,-1.423385620E0
3.772317083E0,-3.552204895E1,9.301051140E0,-1.453720093E0
3.782273083E0,-3.537947083E1,9.277470589E0,-1.726074219E0
3.792230083E0,-3.553309631E1,9.191018105E0,-1.357192993E0
3.802187083E0,-3.566226196E1,9.195546150E0,-1.492279053E0
3.812143083E0,-3.577207947E1,9.327521324E0,-1.291015625E0
3.822100083E0,-3.574647522E1,9.365006447E0,-1.437774658E0
3.832057083E0,-3.546244812E1,9.298630714E0,-1.402572632E0
3.842013083E0,-3.537644958E1,9.421013832E0,-1.329986572E0
3.851970083E0,-3.523117065E1,9.324351311E0,-1.216262817E0
3.861927083E0,-3.542530823E1,9.438748360E0,-1.306213379E0
3.871883083E0,-3.563813782E1,9.274579048E0,-1.526611328E0
3.881840083E0,-3.572715759E1,9.270350456E0,-1.729492188E0
3.891797083E0,-3.584632874E1,9.399506569E0,-1.751251221E0
3.901753083E0,-3.582493591E1,9.257885933E0,-1.484420776E0
3.911710083E0,-3.584686279E1,9.233571053E0,-1.527374268E0
3.921667083E0,-3.579400635E1,9.318083763E0,-1.437408447E0
3.931624083E0,-3.581513977E1,9.350203514E0,-1.599456787E0
3.941580083E0,-3.573915100E1,9.201117516E0,-1.500366211E0
3.951537083E0,-3.563740540E1,9.383719444E0,-1.601043701E0
3.961494083E0,-3.578021240E1,9.192765236E0,-1.501007080E0
3.971450083E0,-3.564181519E1,9.122317314E0,-1.507125854E0
3.981407083E0,-3.582437134E1,9.377896309E0,-1.447280884E0
3.991364083E0,-3.556604004E1,9.140807152E0,-1.767181396E0
4.001319958E0,-3.552903748E1,9.097519875E0,-1.431488037E0
