time,x,y,z,norm
1.936376208E0,-3.914332272E-1,9.366507111E-1,2.644841820E-1,1.049040709E0
1.946332208E0,-4.729740382E-1,7.593995315E-1,3.472573668E-1,9.596769081E-1
1.956287208E0,-5.264513569E-1,5.791800128E-1,5.509626657E-1,9.571626703E-1
1.966243208E0,-4.793622309E-1,4.981437434E-1,9.323625094E-1,1.160704608E0
1.976198208E0,-3.422262762E-1,5.910125846E-1,1.257550730E0,1.431030586E0
1.986154208E0,-2.410394785E-1,8.229144730E-1,1.172854396E0,1.452885300E0
1.996109208E0,-1.842596158E-1,9.359624939E-1,9.290383673E-1,1.331574138E0
2.006065208E0,-9.517030522E-2,9.544243464E-1,7.833848101E-1,1.238416320E0
2.016020208E0,-2.850199688E-2,8.808763137E-1,8.575286740E-1,1.229679174E0
2.025976333E0,-2.465113029E-2,6.310522708E-1,1.099993996E0,1.268393251E0
2.035931333E0,-2.422673207E-2,1.912824507E-1,1.391571836E0,1.404865861E0
2.045887333E0,-1.831687812E-2,-3.611250620E-1,1.714724641E0,1.752434710E0
2.055843333E0,-4.498259347E-2,-8.280721557E-1,1.926622474E0,2.097522607E0
2.065798333E0,-2.182038356E-2,-1.160798461E0,1.861545888E0,2.193919389E0
2.075754333E0,-6.448883180E-2,-1.296803820E0,1.561988352E0,2.031173692E0
2.085709333E0,-7.233363904E-2,-1.265666227E0,1.147579806E0,1.709994902E0
2.095665333E0,-7.418859512E-2,-1.164587018E0,7.793905771E-1,1.403287761E0
2.105620333E0,2.929911856E-2,-8.602236557E-1,2.933472079E-1,9.093380892E-1
2.115576333E0,1.633775276E-1,-5.293260674E-1,-1.100165319E-1,5.647848612E-1
2.125531333E0,1.968382192E-1,-3.804363687E-1,-2.508221626E-1,4.963757372E-1
2.135487333E0,1.476041152E-1,-3.386486574E-1,-1.918839830E-1,4.162803753E-1
2.145442333E0,8.245575406E-2,-3.431267475E-1,-8.077928424E-3,3.529874915E-1
2.155398333E0,1.416611880E-1,-5.188282688E-1,2.342488146E-1,5.866201256E-1
2.165353333E0,1.248042500E-1,-7.707248573E-1,5.145245719E-1,9.350553147E-1
2.175309333E0,1.086762770E-1,-1.033838744E0,7.486465019E-1,1.281056075E0
2.185265333E0,1.111136523E-1,-1.286520614E0,9.616816181E-1,1.610066169E0
2.195220333E0,1.865831166E-1,-1.487024416E0,1.094278927E0,1.855667331E0
2.205176333E0,3.344886192E-1,-1.508507086E0,1.107401834E0,1.901003705E0
2.215131333E0,3.519077670E-1,-1.409884146E0,7.979385298E-1,1.657805260E0
2.225087333E0,2.800296626E-1,-1.241294740E0,2.926870573E-1,1.305716262E0
2.235042333E0,1.405118812E-1,-1.070050112E0,-1.622497094E-1,1.091364192E0
2.244998333E0,3.750075214E-3,-9.297591828E-1,-4.322969323E-1,1.025352056E0
2.254953333E0,-8.934870768E-2,-8.607724169E-1,-4.887903911E-1,9.938955638E-1
2.264909333E0,-1.209456724E-1,-8.277602068E-1,-3.802420950E-1,9.189117838E-1
2.274864333E0,-6.915556770E-2,-7.555330601E-1,-3.927036810E-1,8.543002274E-1
2.284820333E0,-5.742079061E-2,-6.965896180E-1,-6.003406477E-1,9.213811027E-1
2.294775333E0,-1.239251211E-1,-6.607781996E-1,-9.543509638E-1,1.167377842E0
2.304731333E0,-1.948866379E-1,-5.949058069E-1,-1.271641350E0,1.417379781E0
2.314687333E0,-2.074030781E-1,-4.607819358E-1,-1.419449607E0,1.506709400E0
2.324642333E0,-2.159687739E-1,-2.844828290E-1,-1.504472215E0,1.546288989E0
2.334598333E0,-2.011206103E-1,-1.485375501E-1,-1.557907580E0,1.577843127E0
2.344553333E0,-1.174371602E-1,-6.044500709E-2,-1.501300101E0,1.507098894E0
2.354509333E0,-4.157567672E-2,-5.797572792E-2,-1.307303519E0,1.309248720E0
2.364464333E0,1.258795895E-3,-1.062759219E-1,-1.118530839E0,1.123569043E0
2.374420333E0,2.983483315E-2,-1.878675306E-1,-9.228853422E-1,9.422853502E-1
2.384375333E0,1.051550289E-1,-2.693904345E-1,-7.842098522E-1,8.358312501E-1
2.394331333E0,1.574785276E-1,-3.374776062E-1,-8.197281790E-1,9.003582114E-1
2.404286333E0,1.210065565E-1,-4.115941344E-1,-8.670286453E-1,9.673629050E-1
2.414242333E0,3.608568940E-2,-4.289355142E-1,-8.966594106E-1,9.946285492E-1
2.424197333E0,-2.972395532E-3,-3.226239243E-1,-9.784619576E-1,1.030282890E0
2.434153333E0,-1.725173470E-2,-1.960800911E-1,-1.036913064E0,1.055430588E0
2.444108333E0,-2.710776486E-2,-1.682279027E-1,-9.414958602E-1,9.567914679E-1
2.454064333E0,2.243481629E-2,-1.729584463E-1,-6.897527611E-1,7.114610436E-1
2.464020333E0,7.056211542E-2,-1.386618952E-1,-3.937947714E-1,4.234152280E-1
2.473975333E0,1.000020057E-1,-1.549618860E-1,-1.273313069E-1,2.241134734E-1
2.483931333E0,5.718405146E-2,-2.369616303E-1,4.142459929E-2,2.472586245E-1
2.493886333E0,-4.204805866E-3,-2.704800631E-1,1.101843470E-1,2.920919979E-1
2.503842333E0,-5.726821482E-2,-2.435355087E-1,1.178541398E-1,2.765479898E-1
2.513797333E0,-7.740668334E-2,-1.705524632E-1,1.508698583E-2,1.879030454E-1
2.523753333E0,-9.471802309E-2,-1.111478220E-1,-1.616147017E-1,2.178179379E-1
2.533708333E0,-1.089120295E-1,5.687586665E-3,-3.199836141E-1,3.380587110E-1
2.543664333E0,-8.209329978E-2,1.881293397E-1,-3.908963066E-1,4.415109068E-1
2.553619333E0,-4.376264501E-2,3.756347814E-1,-5.069489193E-1,6.324664931E-1
2.563575333E0,-4.183054224E-2,5.280475737E-1,-6.231699318E-1,8.178782295E-1
2.573530333E0,-2.564786129E-2,6.556155467E-1,-6.695108700E-1,9.374083224E-1
2.583486333E0,1.791473586E-2,7.174919522E-1,-7.094532001E-1,1.009177627E0
2.593441333E0,1.382131945E-2,7.466577177E-1,-7.001315689E-1,1.023656676E0
2.603397333E0,-4.265342820E-2,8.136184233E-1,-6.391866249E-1,1.035545168E0
2.613353333E0,-7.049889240E-2,8.962698399E-1,-5.121541107E-1,1.034684277E0
2.623308333E0,-4.369777746E-2,8.993371430E-1,-3.636886275E-1,9.710747707E-1
2.633264333E0,6.701281898E-2,8.745947962E-1,-2.287442458E-1,9.064936323E-1
2.643219333E0,1.598519490E-1,8.802907151E-1,-1.004107261E-1,9.003036724E-1
2.653175333E0,1.859102848E-1,8.207141657E-1,-6.253947973E-2,8.438279222E-1
2.663130333E0,1.844861223E-1,8.124671066E-1,-8.629320860E-2,8.376063792E-1
2.673086333E0,1.927713345E-1,8.707685244E-1,-6.242428958E-2,8.940332222E-1
2.683041333E0,2.296272119E-1,8.703380232E-1,3.071016133E-2,9.006442389E-1
2.692997333E0,3.076769062E-1,8.460742709E-1,1.973768574E-1,9.216639162E-1
2.702952333E0,4.075993167E-1,8.385798946E-1,4.293891120E-1,1.026512763E0
2.712908333E0,5.332530575E-1,8.253618251E-1,7.163727951E-1,1.216047264E0
2.722863333E0,6.089185496E-1,8.052120276E-1,9.043473297E-1,1.355356891E0
2.732819333E0,5.963872721E-1,6.965728073E-1,1.034896359E0,1.382715419E0
2.742775333E0,5.354718200E-1,5.487221588E-1,1.065820529E0,1.312935443E0
2.752730333E0,4.349302259E-1,5.086453427E-1,7.499118394E-1,1.005113005E0
2.762686333E0,2.915521858E-1,5.727670790E-1,3.821512109E-1,7.477328078E-1
2.772641333E0,1.068713146E-1,7.016468748E-1,2.008471799E-1,7.376106050E-1
2.782597333E0,-3.402385153E-2,9.022233286E-1,2.212715042E-1,9.295835819E-1
2.792552333E0,-2.498653389E-1,8.928024410E-1,5.158852190E-1,1.060974291E0
2.802508333E0,-3.984660755E-1,6.678942610E-1,1.007905612E0,1.273079605E0
2.812463333E0,-4.799302879E-1,4.897382247E-1,1.425533050E0,1.581872652E0
2.822419333E0,-5.226217230E-1,1.737466510E-1,1.701578931E0,1.788488810E0
2.832374333E0,-5.118234506E-1,-3.297895409E-1,1.815587357E0,1.914962620E0
2.842330333E0,-4.292561609E-1,-7.970862982E-1,1.893184587E0,2.098512639E0
2.852285333E0,-2.938266430E-1,-9.757156666E-1,1.976259488E0,2.223501006E0
2.862241333E0,-1.127399823E-1,-9.120700398E-1,2.012105843E0,2.212047013E0
2.872196333E0,1.580341592E-2,-8.821985154E-1,1.884827746E0,2.081129405E0
2.882152333E0,-2.857596416E-2,-9.509392597E-1,1.557726316E0,1.825270758E0
2.892108333E0,-1.468936420E-1,-9.876771694E-1,9.978144872E-1,1.411636527E0
