x,y,z
9286,0.0072832108,-0.002175279,0.042319298
9306,0.010828376,2.1517277E-4,0.06386852
9324,0.013167083,0.0037113577,0.04831028
9344,0.0025960207,0.0024655834,0.051890373
9363,0.003766179,-0.005885862,0.06625652
9382,2.6875734E-4,-0.002109304,0.04829693
9401,-0.0043545365,2.5238097E-4,0.0446949
9420,0.0017229319,-0.0010407269,0.05905342
9439,0.003916323,-0.005744055,0.050686836
9458,0.009913087,0.003779851,0.05547428
9477,0.0063461065,0.0027106777,0.063853264
9496,0.007502377,0.004082665,0.0411129
9515,-7.804632E-4,-0.007680103,0.043502808
9534,-0.0044884086,0.0018523261,0.06625271
9553,-0.0019892454,0.0066467226,0.06624699
9572,0.0039095283,-0.0016591698,0.051888466
9591,0.012236059,6.9122016E-4,0.049497604
9610,0.012127638,-0.002876848,0.055488586
9629,0.0025265813,0.0019778535,0.055490494
9648,-0.0046026707,-0.0028410703,0.05788231
9668,0.00255543,-0.008840218,0.055488586
9687,-0.0022457242,7.4934214E-4,0.045912743
9706,0.002575636,0.0054835826,0.05907917
9725,2.1320581E-4,0.011555307,0.06386471
9744,0.006106198,0.0055730417,0.048308372
9763,0.010788977,-0.0016431063,0.048316002
9782,0.005967498,-0.0077058673,0.061484337
9801,-3.6001205E-5,-0.0075055286,0.055500984
9820,0.0011394024,0.004460871,0.056699753
9839,0.002370298,0.004463248,0.061486244
9858,0.0047352314,0.0021451414,0.057897568
9877,0.0033974648,0.0056819096,0.05431366
9896,0.0035421252,-0.003862016,0.056700706
9915,0.0023203492,-0.0039531738,0.05430603
9934,0.0023514628,0.001981482,0.04831791
9953,0.00732857,-0.0063682497,0.05309677
9972,0.0035959482,-4.7716498E-4,0.0531044
9991,0.004761815,0.0043709353,0.05430317
10010,0.0058665276,0.0020366386,0.053111076
10029,0.0034444332,-0.0015986562,0.05550766
10049,0.0047240257,0.003312774,0.04832077
10067,0.001054585,-2.658069E-4,0.053112984
10087,0.008356452,1.866743E-4,0.08183575
10106,0.0011496544,0.0045535713,0.03036499
10125,0.002321601,0.005661249,0.053108215
10144,0.001222372,0.0010697842,0.08542347
10163,0.0010862947,-0.0038843825,0.05311203
10182,0.0011179447,8.000359E-4,0.029167175
10200,0.0069548488,0.003238827,0.06987572
10220,0.011637151,0.004470557,0.06509209
10239,0.009084046,-0.0053179488,0.043556213
10257,7.431507E-4,0.0041512325,0.059114456
10277,0.0018045902,-5.6346506E-4,0.06271362
10296,-0.0053825974,-0.004077621,0.04715252
10315,0.003139615,-0.0017805919,0.048340797
10334,0.0019214749,0.0017668158,0.06390381
10353,0.0019558668,0.0017267019,0.05312729
10372,0.0031846762,0.0015696138,0.061504364
10392,0.0032716393,4.4342875E-4,0.05311966
10410,0.0068824887,4.0382892E-4,0.050724983
10429,-0.0050908327,0.0028652772,0.055513382
10449,-0.0073108077,-0.0018958375,0.05310917
10468,0.0011041164,-0.0030691475,0.05071354
10487,0.0059720874,0.0029763803,0.059088707
10506,0.009519339,-0.005340703,0.060287476
10525,0.010725975,0.0043847114,0.05908966
10544,0.004653156,0.0028352216,0.059095383
10563,-0.0036768913,-0.0018722638,0.05071354
10582,-0.008574307,0.001732707,0.043538094
10601,-0.0050445795,0.0053775907,0.0531168
10620,-0.0060707927,-5.376041E-4,0.06148815
10639,0.0070577264,0.009018689,0.053110123
10658,0.01656878,8.164421E-4,0.051919937
10677,0.01184386,-2.1193177E-4,0.051914215
10696,0.0012201071,-2.8528273E-4,0.050709724
10715,-0.0010749698,-0.0026568845,0.053097725
10735,-0.008251607,0.0032772347,0.057887077
10753,-0.003473699,0.0021397471,0.04711342
10772,0.012035906,0.0020852834,0.055496216
10792,0.013123691,-0.0024322271,0.061487198
10810,0.0071572065,-0.0014649332,0.056697845
10829,0.002514124,-0.0014557987,0.056690216
10849,0.0048196316,0.0010610595,0.055498123
10868,0.0013186336,-2.406761E-4,0.045916557
10887,-0.0081964135,0.006873794,0.055488586
10906,1.6587973E-4,0.0019826517,0.056685448
10924,0.0011737943,0.0066492036,0.0531044
10943,-0.0024248362,0.006641403,0.0578928
10963,0.003421843,-0.0064470395,0.05790329
10982,0.014140427,-0.005224459,0.050723076
11001,0.015335858,-0.0062467977,0.050723076
11020,0.0093099475,-0.0015929714,0.054317474
11039,0.005802512,-0.005212389,0.056705475
11058,0.001108706,0.008107789,0.049518585
11077,-0.014430046,0.0044448823,0.049516678
11096,-0.007184744,0.004496686,0.06268215
11116,0.011920035,-0.0014769956,0.056700706
11134,0.013066173,-0.0026946217,0.05909443
11153,0.017962515,-0.0060092434,0.062680244
11172,0.0072118044,-0.0029087886,0.055496216
11192,-0.003566444,8.618012E-4,0.054301262
11210,-0.00948447,0.0067753047,0.051901817
11229,-0.008053899,0.009194925,0.055480003
11248,0.0028083324,0.0032017678,0.045897484
11268,0.015860021,-0.008502409,0.057875633
11287,0.010968566,-0.005099416,0.054289818
11306,0.008476913,-0.006601423,0.04711151
11325,-9.979606E-4,-0.0053283796,0.056682587
11344,1.8566847E-4,0.0018661767,0.06147194
11363,-0.009381354,0.0019221231,0.047106743
11381,-0.009427667,0.0018709078,0.050700188
11401,0.002636373,0.009098798,0.06266689
11420,0.012107313,-0.0013962686,0.0554924
11439,0.009670794,-0.0013314411,0.054296494
11458,0.01332581,1.681447E-4,0.0710516
11477,0.010999322,-0.007175185,0.05429077
11496,0.0060634613,-0.0048557967,0.048314095
11515,-0.008123338,-0.0012569204,0.053092003
11534,-0.009198487,0.0057996213,0.04230976
11554,-0.006745398,0.004423566,0.048291206
11573,-0.0019730926,-6.53252E-4,0.021954536
11591,0.008641303,-0.008436993,0.030337334
11610,0.015713453,-0.0134509355,0.09737396
